cup,start_val,safe,state,debt,born,unsafe,wiped,bitten,shut,safe again,# oscillations,transition0,transition0_time,transition1,transition1_time,transition2,transition2_time,transition3,transition3_time,transition4,transition4_time,transition5,transition5_time,transition6,transition6_time,transition7,transition7_time
14238,61,TRUE,open,61,1549495867,,,,,,0,,,,,,,,,,,,,,,,
1884,50,TRUE,open,50,1549495085,,,,,,0,,,,,,,,,,,,,,,,
4306,300,TRUE,open,300,1549493938,,,,,,0,,,,,,,,,,,,,,,,
14361,15000,TRUE,wiped,14990,1549492995,,1549495767,,,,0,wipe,1549495767,,,,,,,,,,,,,,
4306,333,TRUE,open,333,1549492791,,,,,,0,,,,,,,,,,,,,,,,
2921,250,TRUE,open,250,1549492779,,,,,,0,,,,,,,,,,,,,,,,
5488,2000,TRUE,open,2000,1549492532,,,,,,0,,,,,,,,,,,,,,,,
5488,2000,TRUE,open,2000,1549491300,,,,,,0,,,,,,,,,,,,,,,,
14329,184,TRUE,open,184,1549487522,,,,,,0,,,,,,,,,,,,,,,,
14346,225,TRUE,open,225,1549487074,,,,,,0,,,,,,,,,,,,,,,,
4685,25,TRUE,open,25,1549487031,,,,,,0,,,,,,,,,,,,,,,,
328,50,TRUE,open,50,1549486343,,,,,,0,,,,,,,,,,,,,,,,
4306,300,TRUE,open,300,1549486311,,,,,,0,,,,,,,,,,,,,,,,
14359,9.639375,TRUE,wiped,0,1549485935,,1549488655,,,,0,wipe,1549488655,,,,,,,,,,,,,,
328,260,TRUE,open,260,1549485760,,,,,,0,,,,,,,,,,,,,,,,
1884,50,TRUE,open,50,1549485455,,,,,,0,,,,,,,,,,,,,,,,
14025,210,TRUE,open,210,1549482443,,,,,,0,,,,,,,,,,,,,,,,
14358,1025,TRUE,open,1025,1549481257,,,,,,0,,,,,,,,,,,,,,,,
14357,500000,TRUE,open,500000,1549480874,,,,,,0,,,,,,,,,,,,,,,,
13706,2600,TRUE,open,2600,1549479900,,,,,,0,,,,,,,,,,,,,,,,
4655,90,TRUE,open,90,1549478848,,,,,,0,,,,,,,,,,,,,,,,
5225,800,TRUE,open,800,1549477141,,,,,,0,,,,,,,,,,,,,,,,
2301,6000,TRUE,open,6000,1549474355,,,,,,0,,,,,,,,,,,,,,,,
14356,14.97652552,FALSE,wiped,0,1549472617,1549472875,1549472875,,,,1,FALSE,1549472875,wipe,1549472875,,,,,,,,,,,,
14265,100,TRUE,open,100,1549472617,,,,,,0,,,,,,,,,,,,,,,,
14355,15,FALSE,wiped,0,1549472357,1549473049,1549473049,,,,1,FALSE,1549473049,wipe,1549473049,,,,,,,,,,,,
14346,11,TRUE,wiped,0,1549472192,,1549472836,,,,0,wipe,1549472836,,,,,,,,,,,,,,
14346,285,TRUE,wipe,285,1549472141,,1549472836,,,,0,wipe,1549472836,,,,,,,,,,,,,,
14354,10,FALSE,wiped,0,1549472096,1549473526,1549473526,,,,1,FALSE,1549473526,wipe,1549473526,,,,,,,,,,,,
14346,4,TRUE,wipe,4,1549471249,,1549472836,,,,0,wipe,1549472836,,,,,,,,,,,,,,
14353,8,TRUE,open,8,1549471135,,,,,,0,,,,,,,,,,,,,,,,
14352,500,TRUE,open,500,1549469875,,,,,,0,,,,,,,,,,,,,,,,
