cdp,initial_size,transition,time_spent,simple_from,simple_to
14238,61.0,born->open,0,safe,open
1884,50.0,born->open,782,safe,open
4306,300.0,born->open,1929,safe,open
14361,15000.0,born->wipe,2772,safe,wipe
4306,333.0,born->open,3076,safe,open
2921,250.0,born->open,3088,safe,open
5488,2000.0,born->open,3335,safe,open
5488,2000.0,born->open,4567,safe,open
14329,184.0,born->open,8345,safe,open
14346,225.0,born->open,8793,safe,open
4685,25.0,born->open,8836,safe,open
328,50.0,born->open,9524,safe,open
4306,300.0,born->open,9556,safe,open
14359,9.639375,born->wipe,2720,safe,wipe
328,260.0,born->open,10107,safe,open
1884,50.0,born->open,10412,safe,open
14025,210.0,born->open,13424,safe,open
14358,1025.0,born->open,14610,safe,open
14357,500000.0,born->open,14993,safe,open
13706,2600.0,born->open,15967,safe,open
4655,90.0,born->open,17019,safe,open
5225,800.0,born->open,18726,safe,open
2301,6000.0,born->open,21512,safe,open
14356,14.97652552,born->FALSE,258,safe,unsafe
14356,14.97652552,FALSE->wipe,0,unsafe,wipe
14265,100.0,born->open,23250,safe,open
14355,15.0,born->FALSE,692,safe,unsafe
14355,15.0,FALSE->wipe,0,unsafe,wipe
14346,11.0,born->wipe,644,safe,wipe
14346,285.0,born->wipe,695,safe,wipe
14354,10.0,born->FALSE,1430,safe,unsafe
14354,10.0,FALSE->wipe,0,unsafe,wipe
14346,4.0,born->wipe,1587,safe,wipe
14353,8.0,born->open,24732,safe,open
14352,500.0,born->open,25992,safe,open
14351,15.02896962,born->FALSE,289,safe,unsafe
14351,15.02896962,FALSE->wipe,0,unsafe,wipe
3841,60.61046971,born->open,26739,safe,open
13128,695.7504183,born->open,26739,safe,open
1040,387.12242,born->open,26739,safe,open
13850,206.2073718,born->open,26746,safe,open
2018,2971.040093,born->wipe,7394,safe,wipe
14350,5.0,born->FALSE,5209,safe,unsafe
14350,5.0,FALSE->wipe,0,unsafe,wipe
13850,182.2810878,born->open,26788,safe,open
4473,300.0,born->open,26854,safe,open
2921,350.0,born->open,26962,safe,open
14349,15.0,born->FALSE,2833,safe,unsafe
14349,15.0,FALSE->wipe,0,unsafe,wipe
4345,2000.0,born->open,28928,safe,open
